id	loss	cross-validation	iteration
0	1157439.0	172.054306030273	0
1	1000145.4375	171.985748291016	2
2	884904.6875	159.08056640625	466
3	685104.8125	146.865768432617	935
4	407071.34375	141.470260620117	1410
5	544786.9375	138.42854309082	1888
6	497777.34375	135.793792724609	2366
7	296247.5625	134.665481567383	2841
8	340594.5625	132.770172119141	3313
9	399483.625	131.64318847656202	3780
10	314790.46875	129.928405761719	4255
11	358315.3125	128.58029174804702	4733
12	311537.5625	126.86989593505899	5211
13	232374.859375	125.39852142334	5689
14	262112.0625	123.404502868652	6167
15	318352.90625	122.41965484619101	6637
16	293509.09375	121.736717224121	7111
17	132811.234375	120.75106048584	7581
18	174672.75	119.929740905762	8058
19	152216.375	118.714340209961	8300
20	192822.890625	118.078979492188	8682
21	173759.5625	116.934555053711	9136
22	194983.296875	115.44929504394501	9565
23	216493.125	114.992149353027	10031
24	327275.0625	115.06135559081999	10505
25	213882.65625	114.125541687012	10927
26	214139.59375	113.671928405762	11245
27	190759.703125	113.17105102539101	11585
28	219911.40625	113.93628692626999	12034
29	297159.28125	113.352416992188	12369
30	264616.75	112.938598632812	12821
31	234694.828125	112.895004272461	13187
32	201116.21875	112.82396697998001	13488
33	191633.125	112.54254150390601	13813
34	141159.109375	111.90256500244101	14165
35	168747.765625	112.2880859375	14615
36	210536.203125	112.700881958008	15091
37	200306.875	112.225128173828	15544
38	195907.28125	112.001533508301	16019
39	128817.0625	112.008178710938	16500
40	206643.921875	111.917678833008	16977
41	262081.890625	112.050430297852	17452
42	260491.078125	111.510620117188	17896
43	223144.546875	111.76007080078101	18346
44	170509.890625	111.164939880371	18823
45	235514.03125	110.74561309814501	19298
46	163037.9375	110.575408935547	19757
47	202230.15625	111.37795257568399	20234
48	183965.203125	111.150077819824	20708
49	195766.703125	110.62638092041	21176
50	128134.8203125	110.465492248535	21654
51	164253.140625	110.37664794921899	22130
52	177590.75	110.83863067626999	22608
53	214441.6875	110.39147186279301	23082
54	177283.046875	110.345985412598	23561
55	103433.5703125	110.78630065918001	24039
56	229321.46875	110.817993164062	24516
57	144590.625	110.69741821289101	24994
58	268245.34375	110.240791320801	25464
59	249801.578125	110.314010620117	25945
60	268939.71875	110.487167358398	26387
61	156622.78125	110.629737854004	26862
62	218349.625	110.889945983887	27336
63	205945.90625	110.298721313477	27752
64	272371.65625	110.13623046875	28227
65	225234.203125	110.053466796875	28704
66	244933.796875	110.30859375	29183
67	115974.8125	110.72735595703101	29590
68	252842.09375	111.14305877685499	29991
69	173829.875	111.52629089355499	30475
70	303935.75	110.941825866699	30951
71	254241.765625	110.835411071777	31430
72	238887.140625	110.625816345215	31908
73	159423.59375	110.67007446289101	32386
74	338775.8125	110.23145294189501	32859
75	257185.484375	110.543037414551	33333
76	259392.921875	110.728164672852	33809
77	146662.0625	110.461135864258	34283
78	107354.8125	109.958671569824	34746
79	187702.40625	109.16100311279301	35222
80	201880.234375	108.95642852783199	35687
81	247420.703125	109.731269836426	36166
82	171451.0625	110.25705718994101	36640
83	125117.6875	110.13006591796899	37085
84	297389.34375	109.90465545654301	37516
85	301670.21875	109.937049865723	37994
86	245613.1875	109.898910522461	38471
87	196432.734375	110.009246826172	38950
88	230674.1875	109.87956237793001	39428
89	281702.625	110.185745239258	39907
90	174011.328125	109.91455841064501	40385
91	244234.078125	109.34748840331999	40862
92	270928.25	109.415328979492	41340
93	322908.03125	110.00569152831999	41819
94	213537.84375	109.604034423828	42300
95	303289.59375	109.932968139648	42780
96	184268.125	109.460906982422	43256
97	123408.171875	110.204833984375	43723
98	127079.953125	110.43042755126999	44206
99	164869.6875	109.514129638672	44688
100	256892.4375	110.03507232666	44999
