featureid	Intercept	C(brushing_event)[T.before]
99647b51f775c8ddde8ed36a7d60dbcd	4.01158420023774	0.978541499110205
51121722488d0c3da1388d1b117cd239	4.02073100143378	0.8701883983931371
d599ebe277afb0dfd4ad3c2176afc50e	3.11221436438417	0.463214701148016
39c4199fe81f30a5b4b0fd5bf2f43c03	2.9870380538449197	0.0587398466787168
4629fbb5dde5f8ee07c2259d2887a8d4	2.22375849661683	0.32702220055673803
f18a9c8112372e2916a66a9778f3741b	3.4975962418065	0.584728425475104
a9b4a380d3b76755de55410a3b856df4	1.2482012885556202	0.6036245283803771
f6eb8537456dde7792eff60c8d1e797c	2.1024611371502804	1.1888011601886599
0afabc98ba5f06d77586c65dd984e126	1.7305962222561802	1.21057953509901
9eec995d1b7de24deb146bf87c62e8ef	-0.465424142505175	1.15166138681982
80e2a0cdbbf0ae81a93b6ba374faeb14	3.0064834731564503	-0.45825433161641904
ce0a7bedfbc98dbf07eaffbb567102ef	1.33273617205476	0.203794663878424
a978026c6c33bccb8dd70bd2ddbf48bf	-0.11877687993193302	0.7726487276277371
ab7dc8433c13bb94829daf2872d9d195	0.9544345515713629	0.40721399161432503
15869fbb559d7a31992e2034442b5099	1.8623959201321498	1.0282636267266099
b36ed4cdf7c0f387ac70951a11bddd29	1.48052255091523	0.295055693121893
a7f92909575fd948fad074b72093771e	1.12281195101594	0.37922621342752705
d21053daf32f3e2c9be9c6768d6ade32	0.8686832564816409	1.20771980855082
c84509b5d38955838482e9d6a4770bfe	0.133972563122266	1.82669169280146
9049e702d18015c0f3159c054521811b	0.199994243954175	0.211687272521002
927381a65ddaa2800255c9186c9b1aaa	1.54359713969087	0.525433575840933
1275c8657f3502d2f3d7b0d9ec7e1c78	-0.0146995407595698	2.26470840546702
a67613d18109ca8bda841018545cb1d7	1.51492253718232	0.693312561245901
2a2f3f401b002d68e17c880024e07b27	0.497237600658887	0.256982749434454
db6086608389f922cfd2e33a3a6826f5	-0.0971065384402339	0.8402271178684059
98b8fb4e2dc98e89e2063eb5ad56978d	1.2648669856533898	-0.408362621335047
d2a8811affdca18fbfc7aa973a4d8ca1	3.66859314617967	-0.109705084828394
9825426be20fbb54b2a7f72ee7d48d21	1.06310717043733	-0.33871793177511
4c77b4a241dbcc5b0a1156a672494d3c	1.60537115511751	1.1169807967862901
546f2c0a74a88e6f1f37a2366edb0060	-0.234879098559863	1.32382131192301
8f0ba2d0c4a91f9303ab9e1b48d9f92b	0.899481214855665	-0.0703798475542239
7144de9684c83011bf5f22cf3b41d0f9	0.864533581112378	-0.40399062064077207
4333f97aaba82904f5975cf89c540fa3	1.12960425791597	-0.5631414594927
