id	loss	cross-validation	iteration
0	1157439.0	172.054306030273	0
1	240021.34375	124.080619812012	23
2	397756.6875	111.201049804688	464
3	299115.625	107.95391845703101	882
4	264383.8125	121.40831756591801	1334
5	245546.84375	119.08186340331999	1791
6	314093.34375	110.748695373535	2250
7	218692.96875	106.3427734375	2705
8	276470.5	122.93914794921899	3163
9	380689.0625	114.764526367188	3619
10	191855.890625	121.027412414551	4074
11	279032.15625	115.701705932617	4531
12	265979.71875	106.86292266845699	4985
13	456134.4375	110.830062866211	5445
14	160381.953125	113.199111938477	5905
15	338203.625	113.490379333496	6366
16	235398.96875	120.915176391602	6825
17	304883.5625	103.834671020508	7284
18	318622.375	107.19054412841801	7747
19	199484.953125	117.15544128418001	8195
20	282716.96875	118.68956756591801	8653
21	260874.875	115.23766326904301	9102
22	219155.71875	109.746856689453	9487
23	219335.625	106.426795959473	9899
24	262202.625	117.333457946777	10307
25	211519.578125	121.244422912598	10783
26	221502.25	106.35189819335899	11259
27	165149.859375	128.075775146484	11736
28	250118.0	114.096313476562	12208
29	329017.3125	109.027938842773	12686
30	199226.0	98.7218780517578	13168
31	180185.09375	116.676651000977	13645
32	270864.96875	112.35479736328101	14109
33	314308.8125	114.55876159668001	14586
34	277989.9375	106.958045959473	15066
35	316352.46875	122.12020111084	15547
36	270442.4375	99.5592041015625	16027
37	232762.375	111.64910888671899	16508
38	252682.5	114.66527557373001	16989
39	265092.90625	120.652374267578	17456
40	203815.8125	114.403823852539	17932
41	339107.75	126.93975830078101	18412
42	322539.3125	120.403930664062	18879
43	189942.15625	114.007217407227	19364
44	112465.6015625	111.707557678223	19822
45	159811.9375	114.546020507812	20269
46	146708.078125	118.275894165039	20749
47	197261.34375	122.14241027831999	21225
48	354885.75	114.013473510742	21689
49	131673.890625	113.24234008789101	22165
50	399368.78125	110.490791320801	22641
51	293663.09375	114.19303894043001	23112
52	247385.046875	120.55261993408199	23591
53	159310.390625	123.06407928466801	24059
54	176115.09375	115.95800018310499	24537
55	341999.53125	115.34656524658199	25017
56	191034.8125	117.170059204102	25488
57	317841.40625	111.44024658203101	25968
58	173689.390625	118.463417053223	26447
59	332522.4375	118.341239929199	26915
60	97894.1796875	108.607788085938	27396
61	203282.828125	108.44123840331999	27875
62	347141.0	112.594657897949	28348
63	276428.65625	110.231460571289	28820
64	299699.84375	111.80623626709	29278
65	270787.6875	109.926963806152	29686
66	249585.09375	117.703178405762	30164
67	269463.21875	118.151817321777	30644
68	252419.46875	117.71453857421899	31122
69	376179.1875	117.279243469238	31599
70	370448.6875	114.17569732666	32078
71	200842.5625	115.747268676758	32557
72	182709.15625	113.861465454102	33033
73	207406.6875	125.204032897949	33514
74	154272.734375	117.298217773438	33993
75	294288.40625	103.79370880126999	34471
76	227644.5625	114.844940185547	34949
77	195023.921875	104.750343322754	35426
78	261515.96875	115.716827392578	35908
79	421502.40625	110.49227142334	36378
80	290374.5	111.98860168456999	36850
81	290143.84375	107.605400085449	37322
82	335661.53125	118.607070922852	37792
83	133874.53125	116.974021911621	38272
84	359245.1875	122.153793334961	38752
85	380670.59375	119.46004486084	39225
86	306446.8125	109.901313781738	39652
87	181438.234375	119.57884979248001	40119
88	366804.71875	118.82891845703101	40584
89	217651.265625	99.1442642211914	41053
90	255513.59375	122.997611999512	41519
91	266850.4375	112.629272460938	41983
92	167297.28125	111.325981140137	42451
93	184333.984375	122.244422912598	42921
94	204789.84375	108.89176940918001	43398
95	252249.109375	99.8588027954102	43866
96	372562.78125	113.63039398193399	44334
97	304467.28125	111.786186218262	44793
98	282190.90625	103.569946289062	44999
