id	loss	cross-validation	iteration
0	20733210.0	205.406631469727	0
1	15050336.0	205.401092529297	18
2	7915175.5	204.53590393066398	444
3	5896562.0	200.861083984375	784
4	2572993.25	190.994964599609	1210
5	1626140.375	169.68453979492202	1635
6	715667.125	152.368896484375	2061
7	1138067.875	147.965225219727	2490
8	929483.4375	145.67117309570298	2913
9	1012067.875	146.971786499023	3336
10	494394.84375	147.075012207031	3762
11	462212.96875	146.834823608398	4192
12	414429.46875	146.90852355957	4619
13	203109.515625	137.523086547852	5048
14	72015.9609375	126.430694580078	5470
15	72318.2578125	125.76446533203101	5898
16	171450.546875	125.757202148438	6329
17	40653.46484375	125.52178955078101	6748
18	62863.1484375	125.199584960938	7175
19	92795.515625	124.818328857422	7602
20	90996.59375	124.392646789551	8030
21	44277.31640625	123.373016357422	8457
22	50253.38671875	124.83277130126999	8869
23	44600.31640625	123.562957763672	9287
24	43638.34375	123.477340698242	9651
25	20471.314453125	123.92497253418001	10082
26	78159.8203125	123.40837097168001	10512
27	35588.3125	123.535629272461	10941
28	68977.46875	123.70496368408199	11367
29	37942.9375	123.763305664062	11799
30	30055.60546875	124.31802368164101	12227
31	52966.6328125	122.794364929199	12658
32	55479.3125	123.25114440918001	13090
33	24275.212890625	122.233497619629	13521
34	36098.8203125	122.549415588379	13940
35	26834.203125	121.86629486084	14370
36	33925.90625	122.456420898438	14798
37	22172.583984375	121.447547912598	15206
38	82860.3515625	121.741264343262	15634
39	19344.0234375	122.424278259277	16065
40	24205.02734375	122.082061767578	16484
41	89447.03125	122.513641357422	16931
42	50970.65625	121.97547149658199	17383
43	28353.66796875	122.214370727539	17831
44	23862.490234375	121.629844665527	18221
45	87640.953125	120.89663696289101	18644
46	32371.99609375	121.543167114258	19082
47	34756.67578125	121.434860229492	19534
48	36518.05859375	121.36750793456999	19969
49	30690.41015625	121.447143554688	20419
50	38728.61328125	120.86213684081999	20856
51	72409.3359375	120.921424865723	21305
52	42035.05078125	121.14122772216801	21755
53	86255.265625	121.17067718505899	22189
54	28536.3984375	121.78076171875	22632
55	23432.6484375	120.879463195801	23084
56	41460.8984375	121.011688232422	23535
57	45439.34765625	120.76058959960899	23967
58	54184.16796875	120.695762634277	24413
59	31774.478515625	120.96837615966801	24863
60	41263.2109375	120.854942321777	25310
61	24906.25390625	120.060180664062	25758
62	28045.3359375	120.158325195312	26209
63	74388.1875	120.306358337402	26660
64	18463.91015625	120.57485961914101	27111
65	38279.30078125	120.915733337402	27500
66	25030.017578125	120.53833770751999	27941
67	66447.0	119.80990600585899	28390
68	17923.1953125	120.96459197998001	28834
69	23312.001953125	120.702987670898	29285
70	42494.97265625	120.81520843505899	29703
71	71973.765625	120.383499145508	30153
72	41028.98828125	121.13761138916	30593
73	69490.1875	120.537307739258	31043
74	70576.1796875	119.963088989258	31487
75	46507.9453125	119.84880065918001	31938
76	21872.9453125	120.26629638671899	32388
77	48266.33203125	120.77522277831999	32826
78	34551.046875	119.937446594238	33278
79	46765.3984375	120.22922515869101	33728
80	64526.765625	120.60092163085899	34176
81	29049.99609375	120.252342224121	34623
82	54405.6328125	120.80731201171899	35074
83	30483.138671875	119.50496673584	35526
84	45162.83984375	120.472290039062	35976
85	42666.73046875	120.65064239501999	36413
86	25875.1640625	120.95147705078101	36800
87	27702.375	120.30209350585899	37249
88	29635.35546875	119.95672607421899	37697
89	66451.65625	119.94066619873001	38150
90	22181.73828125	119.94997406005899	38599
91	70361.71875	120.37183380126999	39048
92	47877.91015625	120.166305541992	39500
93	33329.796875	120.320594787598	39947
94	21921.525390625	120.283790588379	40394
95	31619.5859375	120.082084655762	40845
96	79763.7265625	120.627235412598	41295
97	42117.52734375	120.794784545898	41735
98	44847.83203125	119.728881835938	42187
99	43959.51953125	120.17488861084	42637
100	15507.5361328125	119.946487426758	43086
101	49783.078125	120.553611755371	43532
102	31628.791015625	119.601173400879	43982
103	46332.8359375	120.72585296630899	44434
104	32950.1796875	120.56565093994101	44884
105	18923.845703125	120.173728942871	44999
