id	loss	cross-validation	iteration
0	1147082.875	172.054306030273	0
1	1041741.0625	171.038528442383	35
2	761385.125	158.452239990234	488
3	510120.40625	146.75656127929702	942
4	545525.6875	141.63357543945298	1397
5	440104.28125	138.707565307617	1848
6	464117.71875	136.19953918457	2299
7	432599.9375	135.199966430664	2723
8	480161.0625	132.854598999023	3198
9	106087.7109375	131.680587768555	3676
10	385512.375	130.257568359375	4152
11	428191.6875	129.48562622070298	4614
12	308585.0	127.230537414551	5089
13	214633.375	125.811805725098	5563
14	333072.8125	123.983985900879	6039
15	157825.828125	122.65357208251999	6512
16	186949.796875	121.842636108398	6988
17	258830.90625	121.28775024414101	7465
18	147937.078125	120.46450805664101	7940
19	185339.5625	118.69602203369101	8413
20	296604.125	117.359985351562	8836
21	312292.84375	115.984741210938	9245
22	88463.6171875	114.99395751953101	9711
23	125440.0	114.96737670898399	10181
24	215931.1875	114.348304748535	10648
25	218117.65625	113.441993713379	11115
26	176725.234375	113.051231384277	11585
27	266645.9375	113.74600982666	12049
28	224550.765625	112.814888000488	12518
29	251450.359375	112.80200958251999	12988
30	87822.1171875	112.698081970215	13460
31	228330.71875	112.08464050293001	13921
32	222413.90625	111.80606842041	14384
33	159876.9375	112.476280212402	14848
34	136562.53125	112.344711303711	15315
35	239965.296875	112.07837677001999	15778
36	180045.015625	112.509315490723	16245
37	211726.46875	111.813301086426	16716
38	228168.5625	111.983200073242	17185
39	203751.953125	111.63240814209	17655
40	285992.4375	111.895980834961	18126
41	225474.75	111.36779022216801	18562
42	261243.96875	110.839370727539	18997
43	183204.96875	110.131958007812	19472
44	226725.03125	110.925636291504	19941
45	287582.84375	111.345504760742	20412
46	219348.25	111.36685180664101	20880
47	295420.375	110.702133178711	21345
48	263972.84375	110.272666931152	21817
49	202280.25	110.513442993164	22285
50	265724.84375	110.90219116210899	22749
51	160342.421875	110.253211975098	23211
52	264386.03125	110.64411926269501	23683
53	207541.8125	110.851661682129	24135
54	196961.09375	110.755912780762	24570
55	213395.734375	110.52268218994101	25036
56	217571.953125	110.27696990966801	25507
57	236110.71875	110.44537353515601	25978
58	200794.546875	110.428573608398	26448
59	239403.25	110.630699157715	26919
60	294507.40625	110.822006225586	27391
61	259284.6875	110.08016204834	27862
62	244331.34375	109.974594116211	28273
63	235349.546875	109.960258483887	28724
64	108279.2578125	110.244834899902	29186
65	290035.9375	110.309280395508	29656
66	259810.03125	110.942016601562	30128
67	266171.40625	111.34236907959	30585
68	288916.5625	111.10570526123001	31056
69	173999.375	110.575859069824	31528
70	172798.484375	110.529067993164	31981
71	81116.34375	110.662666320801	32408
72	241533.1875	110.235366821289	32877
73	184468.5	110.396514892578	33343
74	181360.78125	110.650245666504	33807
75	246519.1875	110.41522216796899	34273
76	134104.015625	109.867256164551	34740
77	163491.859375	109.13967132568399	35211
78	180411.140625	108.886352539062	35683
79	251862.515625	109.60294342041	36155
80	287437.875	110.211135864258	36626
81	205579.25	110.05249786376999	37097
82	148239.53125	109.881294250488	37557
83	191990.625	109.91276550293001	37983
84	222989.3125	109.993125915527	38450
85	261695.484375	109.92155456543001	38920
86	138793.84375	109.986610412598	39390
87	209135.359375	110.090057373047	39858
88	260537.78125	109.92172241210899	40331
89	287446.34375	109.375419616699	40801
90	138637.953125	109.368194580078	41274
91	235330.25	109.937789916992	41727
92	159760.4375	109.344062805176	42199
93	177319.109375	109.895797729492	42669
94	263623.0625	109.71324920654301	43140
95	180566.890625	109.81625366210899	43609
96	228089.84375	110.54083251953101	44080
97	289057.09375	109.52906036376999	44551
98	242931.125	109.96636962890601	44999
