featureid	Intercept	HostSubject[T.B]	HostSubject[T.C]	HostSubject[T.D]	HostSubject[T.E]	HostSubject[T.F]	HostSubject[T.G]	HostSubject[T.H]	HostSubject[T.I]	HostSubject[T.J]	brushing_event[T.before]	HostSubject[T.B]:brushing_event[T.before]	HostSubject[T.C]:brushing_event[T.before]	HostSubject[T.D]:brushing_event[T.before]	HostSubject[T.E]:brushing_event[T.before]	HostSubject[T.F]:brushing_event[T.before]	HostSubject[T.G]:brushing_event[T.before]	HostSubject[T.H]:brushing_event[T.before]	HostSubject[T.I]:brushing_event[T.before]	HostSubject[T.J]:brushing_event[T.before]	final_volume_mL	final_tube_weight_g
99647b51f775c8ddde8ed36a7d60dbcd	-0.0230687959186201	-1.2065077383487	-2.61519576108881	-4.013140670808831	-2.5013636110882698	-1.8835929391107402	-3.2017763833382302	-2.80877905740719	-3.27666438691584	-3.3803295112081897	3.7488925755023996	-3.9363351677145295	-2.5937898369273196	-2.77695006983621	-2.9150502169637798	-2.93814336677481	-2.13659315010799	-2.8446974662797797	-2.6114880302920898	-2.59960157629102	-0.894980409821229	1.0068694879567
51121722488d0c3da1388d1b117cd239	-0.33061278891483603	-2.47312169861481	-0.980469594363655	-2.6423984690037203	-1.46187171922731	-1.5890678224286898	-2.34570818942572	-2.09522014512996	-2.2421201574084	-1.62059774164643	2.9221623837947797	-3.0410634492124804	-2.39585815982427	-3.29204142945153	-2.9357856093107597	-2.03700988908697	-1.8628224005390501	-1.258407225992	-2.75586831662804	-2.25433001872152	-1.07470857509013	1.03315332581156
d599ebe277afb0dfd4ad3c2176afc50e	-0.970567892312205	-1.5812870819537401	-4.75048686063715	-2.00709866717724	-1.9168448208432098	-0.550413107605917	-2.39530873101737	-1.26250785245876	-2.18470848672358	-2.07689132456269	2.8890518248081203	-2.7538669918264707	-1.01954688744154	-1.7156185592923798	-2.31400711183835	-2.64188581129004	-2.73235283991588	-2.33754383602313	-2.42436795029789	-2.5388997962698303	-0.720104509671884	0.858688079312976
39c4199fe81f30a5b4b0fd5bf2f43c03	-2.0180757148257897	-2.5288308222262597	-0.161746511821236	-3.0217668934193	-3.69167480455445	-1.9971051943621498	-2.22962271970298	-1.3735588158605598	-1.57107616536585	-2.8091292596289104	2.3813407719135298	-1.96569307787078	-3.4127480001887296	-2.5983471508537	-1.4366510594396698	-2.24975764175345	-1.84598116776241	-2.11599009313754	-3.31525652203709	-0.994162270985544	-0.7793005795085	0.9771985770469259
4629fbb5dde5f8ee07c2259d2887a8d4	-0.460400800227321	-2.3466260988681	-0.772724042300667	-3.7398828788128298	-2.53623364330935	-1.2580964920244	-3.5484970490315098	-2.29633009090404	-1.8581267701861102	-3.76261552338089	2.21796980500221	-1.6850708339895502	-2.4563254477223397	-0.9702443565641129	-1.5767355645208503	-1.85329925437857	-2.06643842360271	-1.6011677888887301	-2.47384096775204	-1.60871166940778	-0.598061332186418	0.72214212317818
f18a9c8112372e2916a66a9778f3741b	1.8654048340328602	-6.10275893997833	-1.83317501342722	-4.51069527104763	-1.56058922992753	-5.3432844636163495	-2.8594553748943996	-3.1486482883928297	-2.27977175586192	-1.45039930109467	3.1710647642612497	-2.60695119840758	-3.0712220282992297	-4.83090228693826	-3.83930469398786	-2.98453844880153	-3.52235786816371	-2.2203236130731403	-3.27957795653492	-2.55746475439519	-1.24637542076941	0.9211266716276959
a9b4a380d3b76755de55410a3b856df4	-0.8795329434863689	2.92497629332855	-3.3078305224222797	-1.13669466212658	-1.00877592550325	0.7278689387121371	-3.2202493603208198	-3.44963824405651	-0.21728814713923	-2.519563696427	2.15032675862312	-2.5660928104605003	0.171340921358206	0.8723099742616931	-1.65509492998411	-1.04426085372855	0.0815758238147413	-1.64071868934802	-0.27336709294468203	-0.14024932142347102	0.129108211318297	0.201576106742557
f6eb8537456dde7792eff60c8d1e797c	-0.128172273754275	0.805922691109923	-4.79474783933588	-3.43556707337765	-1.7869839428524898	-0.954986309739096	-2.4519210438111	-5.85662322893123	-4.4324841605898495	-5.251101276917121	4.10731396079063	-4.36136969072478	-0.195888063474558	-0.665703245571681	-3.1188555443792496	-2.6946081759541203	-1.60650007626308	-3.35635291614703	-0.3975362041965129	1.17605035547167	-0.24987236567373802	0.5093141128575159
0afabc98ba5f06d77586c65dd984e126	1.639592518092	-1.58684885096237	-0.935241470698799	-1.91566776469616	-1.39248356805848	-0.525943612786276	-1.9279863814690301	-2.0856746400831203	-1.61511481873957	-2.17578115229096	3.1276898086071	-2.0528887127127002	-2.0941630812129	-1.64552254336221	-2.28502584343244	-2.62627785821844	-0.996473955123552	-2.35811372676066	-1.8039809921756398	-1.95173145290464	-0.235194900711732	0.299267165855105
9eec995d1b7de24deb146bf87c62e8ef	1.19023095536312	6.545490209344179	-0.463972339992012	3.261583335844	0.7123941422839252	1.22993531253721	-0.140130398688572	0.348292294597819	0.529046405625663	4.13343105550323	0.359344512224197	0.497477450541087	0.4445264129200949	3.20648174626487	0.45568948144625393	1.4284061251075102	1.0979763994525602	0.6397917362196099	1.5582149764522901	2.2325450683012598	1.56950905017023	-0.981414027019803
80e2a0cdbbf0ae81a93b6ba374faeb14	2.2290333406933196	-2.17259573530838	0.5852646728711469	-1.03341030314831	-0.8307856081585799	-0.794522976609213	-0.81511604589011	-1.15928703203182	-0.805561195540109	-2.2649941659399397	1.5262306034564999	-0.9103961799825941	-2.68089637027588	-2.6953066598091797	-1.8268115008382901	-1.72077226062704	-2.7057267298389798	-1.7644338516252398	-2.49544298741966	-1.6438219642266598	-0.35576424904699794	0.349235348895724
ce0a7bedfbc98dbf07eaffbb567102ef	0.87283842730602	0.453507606271056	-4.24492884672114	-0.19071077540783	-0.799838399754039	0.39960041072751795	-4.35263895791556	-4.00828307523708	-3.2575787393775397	-0.249859712166446	0.733011275529861	-1.23673542482512	-0.863114735647105	-0.108897873333522	-0.740539976408971	-0.559852475127471	-0.579297589271196	-0.840013018037592	-1.4417124250903701	-0.39668853040784596	-0.200059989174562	0.24595981140488
a978026c6c33bccb8dd70bd2ddbf48bf	-2.46734131407658	2.22755927253082	0.18662761652043902	-0.325971595796624	-1.5976354240040702	0.726886892584818	-2.77686297696616	-2.0979368652341797	0.176177848649344	-0.471916816277163	0.0330164730548859	0.0821384574685777	0.914197185472585	0.460999778338841	-0.34005207662869796	0.7693408785254828	0.47512025931584	0.601724633787359	0.9754565497860309	0.00872962716966885	-0.8758287426882561	0.5709635545765711
ab7dc8433c13bb94829daf2872d9d195	-3.3166979653827298	-0.0202409584490981	-2.18970457709261	-4.64958529904751	-2.01505548344659	-0.98190299245928	-5.69605982106711	-4.424189385318559	-4.71184660069911	2.0067521118691998	1.84479466080666	-3.39903493864196	-0.49361564831342497	-3.02396746831281	-4.2450230801611095	-1.4717469157784098	-0.669138001411089	-0.7871014980333191	-0.522035525180399	-3.5396690463647205	-3.21751425572272	1.63868700762146
15869fbb559d7a31992e2034442b5099	-4.14617765974919	-2.43723755669281	-2.71762370562979	-3.86477782562641	-4.707856511936661	-2.23569885465716	-2.51992922824408	-2.07034909381847	-6.52939046494929	-3.42511958543743	2.7111052572727203	-2.08613129598754	-2.23725622014608	-1.7791079367910099	-0.9240123713522079	-2.30999540706564	-1.882695036142	-1.6860563663499701	-2.4296780833974503	-0.108296940289438	-0.757310012062745	1.16419781048649
b36ed4cdf7c0f387ac70951a11bddd29	0.312876273871266	-2.10310583901093	0.45517515146306603	-1.75375031665234	-0.9777296541790881	-1.76079338613365	-1.9132004956581798	-0.8922744359014491	-1.27755797975031	-0.47047223810638705	1.61976531147957	-1.21728499872344	-1.8613735647639298	-2.19842238085611	-2.17815429811765	-1.17011200805594	-1.3740357627559998	-1.58549021759204	-1.4465367058291998	-2.04409171100706	-0.813860976775842	0.5834006299530821
a7f92909575fd948fad074b72093771e	0.668391098261678	2.7024287622006202	-1.6715245941919898	3.10675526424976	-1.08067533956575	-1.8051088658294498	-1.72127163213279	3.6740452681543396	2.90210901625188	-1.52776064638581	-0.6543576419353491	0.7892026092324941	0.5392956523457539	0.734606078692845	-0.321132131865514	0.6370130834967961	0.576245261223189	0.338282117460455	0.6491797706112271	0.751632859744132	0.0199511855042407	-0.0809591482127352
