id	loss	cross-validation	iteration
0	20884728.0	205.406631469727	0
1	12365366.0	205.399475097656	21
2	9538645.0	204.593688964844	441
3	4503474.5	199.544387817383	859
4	3059655.75	189.810958862305	1284
5	3194530.25	164.772689819336	1708
6	1447904.875	154.278381347656	2137
7	1142457.25	151.545227050781	2565
8	932404.75	148.119552612305	2979
9	1303114.5	149.929443359375	3403
10	778630.875	148.439529418945	3832
11	617201.75	147.854049682617	4260
12	319731.4375	148.2529296875	4685
13	391683.34375	140.327194213867	5106
14	176295.0625	129.357559204102	5536
15	260826.96875	127.491157531738	5967
16	262079.34375	126.433563232422	6388
17	185640.203125	126.96858215331999	6811
18	208610.75	125.469696044922	7234
19	308110.8125	125.629447937012	7592
20	161195.390625	125.13878631591801	8039
21	197014.546875	124.82706451416	8484
22	214577.3125	126.00759124755899	8933
23	267245.1875	125.44930267334	9377
24	191460.9375	126.26678466796899	9826
25	177831.890625	126.674438476562	10274
26	207121.96875	125.878211975098	10721
27	154209.609375	127.11880493164101	11168
28	147344.578125	127.068862915039	11616
29	160564.40625	127.68822479248001	12063
30	157222.96875	127.223495483398	12512
31	137833.640625	127.715454101562	12961
32	142834.71875	127.994682312012	13411
33	158535.171875	128.057815551758	13849
34	162446.71875	127.994422912598	14298
35	184303.1875	128.396469116211	14738
36	192332.53125	129.272720336914	15169
37	152036.40625	129.238677978516	15617
38	176773.6875	129.071838378906	16066
39	147893.15625	129.679580688477	16491
40	136010.59375	128.932800292969	16867
41	139478.796875	129.824783325195	17316
42	150918.578125	130.272232055664	17728
43	134736.46875	130.022811889648	18172
44	126335.359375	130.430892944336	18620
45	129261.046875	130.773284912109	19063
46	128181.140625	130.858093261719	19508
47	205294.375	131.051284790039	19955
48	140754.59375	131.178237915039	20402
49	139176.96875	131.359451293945	20835
50	140666.21875	131.513595581055	21279
51	133210.375	131.20315551757798	21727
52	133947.125	132.056213378906	22175
53	133968.671875	132.452011108398	22623
54	123467.9609375	132.467681884766	23072
55	122868.34375	133.086624145508	23515
56	142623.65625	132.794860839844	23945
57	165831.34375	132.601379394531	24390
58	123923.71875	132.879455566406	24816
59	130303.65625	133.734313964844	25248
60	111402.34375	132.97879028320298	25641
61	110992.8671875	133.834732055664	26061
62	117275.25	133.276504516602	26509
63	115295.40625	134.168411254883	26953
64	131453.984375	134.04895019531202	27400
65	134359.796875	134.572601318359	27848
66	113359.6015625	134.963729858398	28293
67	136694.3125	134.711608886719	28742
68	116099.359375	134.674667358398	29192
69	122987.4609375	134.800674438477	29638
70	120416.0078125	135.406448364258	30081
71	111569.953125	135.689224243164	30496
72	104689.4453125	135.653121948242	30923
73	113264.703125	135.672012329102	31354
74	140187.09375	135.748092651367	31790
75	137070.0625	135.932693481445	32230
76	128064.703125	136.320953369141	32653
77	100980.765625	135.804428100586	33091
78	165471.125	136.684127807617	33536
79	129602.140625	137.07449340820298	33972
80	127895.015625	136.386825561523	34418
81	117382.5625	137.248687744141	34798
82	120474.2421875	136.827011108398	35235
83	143599.578125	136.915756225586	35670
84	129401.9765625	137.523635864258	36106
85	111665.0234375	137.336517333984	36547
86	103263.765625	138.180892944336	36986
87	124059.59375	137.805618286133	37428
88	115478.359375	137.542556762695	37860
89	98307.5234375	137.823348999023	38288
90	106243.3515625	138.25280761718798	38725
91	111454.1015625	138.235900878906	39151
92	94479.59375	138.650619506836	39585
93	127346.515625	138.761734008789	40012
94	108189.234375	138.685150146484	40443
95	116042.59375	139.238677978516	40871
96	99188.8203125	139.25247192382798	41289
97	140239.234375	139.34445190429702	41723
98	100212.625	139.38220214843798	42159
99	118603.6171875	139.291793823242	42585
100	116510.484375	139.70822143554702	43023
101	98265.140625	139.894943237305	43444
102	106673.9140625	140.014205932617	43808
103	104675.828125	139.798080444336	44241
104	109259.5625	140.329605102539	44668
105	94367.4140625	140.487365722656	44999
